browser,c_color,code_ver,connection_type,country,first_hit_ref_type,geo_city,geo_country,geo_dma,geo_region,geo_zip,hit_source,javascript,language,last_purchase_num,mobile_id,os,page_event,post_cookies,post_pagename,post_Category_ev1_,post_Page_Type_ev3_,post_Finding_method__ev61_,post_LockIn_User_State_ev99_,post_page_event,post_visid_type,ref_type,resolution,search_page_num,va_closer_id,va_finder_id,visit_ref_type_
Google Chrome 70,24,JS-1.5.1,LAN/Wifi,IP Address Only,Typed/Bookmarked,paris,fra,250075,idf,75001,1,1.6,b'English (United States)',0,0,Linux,0,Y,SmallFurniture**,SmallFurniture**,FLIPKART:Product Page,Search,NON_LOGGED_IN,0,5,6,215,0,2,2,6
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,India,Inside Your Site,morbi****,ind,0,kl,700001****,1,1.6,b'English (United States)',0,0,Windows 7,0,Y,Storage**,Storage**,FLIPKART:Product Page,AS_QueryStore_HistoryAutoSuggest_0_0**,ACTIVATE_ELIGIBLE,0,5,6,13,0,2,3,6
Google Chrome 75,24,JS-1.5.1,Mobile Carrier,India,Typed/Bookmarked,botad,ind,356008,gj,380001**,1,1.6,b'English (United States)',0,0,Windows 8.1,0,Y,MensClothingBottomWear,MensClothingBottomWear,FLIPKART:Product Page,Direct,INACTIVE,0,5,6,185,0,2,2,6
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,India,Typed/Bookmarked,calcutta,ind,356003,wb,700001****,1,1.6,b'English (United States)',1,0,Windows 7,0,Y,Mobile**,Mobile,FLIPKART:Product Page,AS_QueryStore_HistoryAutoSuggest_0_0**,ACTIVE,0,5,6,185,0,2,2,6
Google Chrome 70,24,JS-1.5.1,LAN/Wifi,IP Address Only,Typed/Bookmarked,amsterdam,nld,0,nh,1096 aa,1,1.6,b'English (United Kingdom)',0,0,Linux,0,Y,ArtificialJewellery****,ArtificialJewellery,FLIPKART:Product Page,Direct,NON_LOGGED_IN,0,5,6,215,0,2,2,6
Mozilla Firefox 67,24,JS-1.5.1,LAN/Wifi,India,Typed/Bookmarked,hyderabad,ind,356006,tg,500014****,1,1.6,b'English (United States)',0,0,Windows 7,0,Y,ProductReview_ImageGallery**,ProductReview_ImageGallery**,ProductReview_ImageGallery,Recommendation,NON_LOGGED_IN,0,5,6,185,0,6,2,6
Google Chrome 74,24,JS-1.5.1,Mobile Carrier,Commercial (mostly U.S.),Other Web Sites,kokrajhar****,ind,0,or,752115****,1,1.6,b'English (United States)',0,0,Linux,0,Y,ComputerAccessory****,ComputerAccessory,FLIPKART:Product Page,Direct,NON_LOGGED_IN,0,5,2,70,0,5,5,2
Google Chrome 75,24,JS-1.5.1,Mobile Carrier,Commercial (mostly U.S.),Other Web Sites,new delhi,ind,356001,dl,110043,1,1.6,b'English (United States)',0,0,Windows 10,0,Y,Cart****,View Cart,Cart,Recommendation,NON_LOGGED_IN,0,5,6,185,0,2,9,6
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,India,Typed/Bookmarked,lucknow,ind,356010,up,226016**,1,1.6,b'English (United States)',5,0,Windows 10,0,Y,ComputerAccessory****,ComputerAccessory,FLIPKART:Product Page,Browse,NON_LOGGED_IN,0,5,6,388,0,16,2,3
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,India,Typed/Bookmarked,gurgaon,ind,356001,hr,122001**,1,1.6,b'English (United States)',0,0,Windows 10,0,Y,CLP,CLP:vivo-z1-pro-coming-soon-1907-3502-store****,FLIPKART:CLP,post_Finding method (ev61)_NA,NON_LOGGED_IN,0,5,6,186,0,2,2,6
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,India,Other Web Sites,pune,ind,356005,mh,411033,1,1.6,b'English (United States)',1,0,Windows 7,0,Y,Track Order**,Track Order**,Track Order,Direct,NON_LOGGED_IN,0,5,2,185,0,5,5,2
Google Chrome 75,24,JS-1.5.1,LAN/Wifi,IP Address Only,Other Web Sites,amreli****,ind,0,kl,700001****,1,1.6,b'English (United States)',0,0,Windows 8.1,0,Y,WomenFW**,WomenFashionAccessory**,FLIPKART:Product Page,Direct,INACTIVE,0,5,6,185,0,16,16,3
Google Chrome 75,24,JS-1.5.1,Mobile Carrier,India,Typed/Bookmarked,lucknow,ind,356010,up,226002**,1,1.6,b'English (United States)',312,0,Windows 10,0,Y,Mobile**,Mobile,FLIPKART:Product Page,Direct,INACTIVE,0,5,6,185,0,2,2,6
Safari**,24,JS-1.5.1,LAN/Wifi,IP Address Only,Typed/Bookmarked,bangalore,ind,356004,ka,560004,1,1.6,b'English (United States)',1,0,OS X 10.14,0,Y,My Gift Cards**,My Gift Cards**,My Gift Cards,Search,INACTIVE,0,5,6,186,0,2,2,6
Mozilla Firefox (unknown version)**,24,JS-1.5.1,Mobile Carrier,India,Typed/Bookmarked,delhi,ind,356001,dl,11001**,1,1.6,b'English (United States)',0,0,Windows 7,0,Y,ComputerAccessory****,Core****,FLIPKART:Product Page,Recommendation,NON_LOGGED_IN,0,5,6,185,0,6,6,6
Mozilla Firefox 67,24,JS-1.5.1,LAN/Wifi,IP Address Only,Other Web Sites,coimbatore****,ind,356007,tn,641021****,1,1.6,b'English (United States)',1,0,Windows 7,0,Y,Search :Mobiles & Accessories,Mobile,Search Page,AS_QueryStore_HistoryAutoSuggest_0_0**,INACTIVE,0,5,6,185,0,2,16,6
